column,mae,mse,r2
estOFFRTG,34.565008502311855,2679.3970081110206,-3.4092820717891277
OFFRTG,34.56534272550026,2645.460854105845,-3.4112206110765717
estDEFRTG,34.760421449754816,2784.79389937816,-3.6499675779177254
DEFRTG,34.66640491808167,2753.150786956792,-3.7276435936682626
estNETRTG,26.658988180833354,1399.7561883516746,-0.23908144510119267
NETRTG,26.537791492606846,1343.582941308116,-0.23976613391428625
ASTpct,0.11929149204542812,0.026961872771181422,-0.36311371625296296
ASTtoTOV,1.2210360787015504,3.5796040402354774,-0.2634708063781033
ASTratio,13.721973033024918,343.4731049183399,-0.3906584013412908
ORBpct,0.04749123625224261,0.005376748578922244,-0.28726122257192377
DRBpct,0.09772724003591536,0.018195358745021182,-0.4537026349127298
REBpct,0.06262744427080241,0.007577911484750649,-0.4775959455480967
TOVratio,9.700220179075025,206.65952995771096,-0.3329511960962366
effFGpct,0.2946602691383364,0.1455974495469703,-0.6967759458691358
TSpct,0.290704316115706,0.1430934819797936,-0.8004843773216506
USGpct,0.09260021816279636,0.014621317673944253,-0.9141692881373074
estUSGpct,0.09550092674747415,0.015898794088960302,-0.8991248312056945
estpace,26.588772519050984,2368.5220649059743,-4.236210401246331
pace,31.672481019107554,3536.0826226113577,-1.6216708945212606
paceper40,26.393727698218296,2455.60876578139,-1.6216695760905413
POS,24.421171045469464,925.3987184191787,-0.8011136459059531
pie,0.09778006262940885,0.02733817621365293,-0.28523277559674387
FGM,2.9836889367787416,15.376747546418603,-0.37982852105759246
FGA,5.717265757675995,54.84386473187539,-0.4423661505504779
FGpct,0.25624770816484316,0.1092412998232235,-0.7017186232086121
3PM,1.2170231316060292,2.8561266711176407,-0.28953148189772526
3PA,2.6806617904743866,12.385282429767797,-0.34494993477108427
3Ppct,0.25899884085753677,0.11353413870679331,-0.34975808915233153
FTM,1.8852441526320842,7.78627415322352,-0.2626187316450741
FTA,2.3208629880111347,11.216682335471484,-0.2721052348437505
FTpct,0.4172426050622437,0.25657027529817045,-0.3609951094598265
ORB,1.066516867360712,2.408422516288794,-0.284664272509525
DRB,2.4036779746579673,10.299146945578874,-0.38264084087681516
TRB,3.0739538821649077,16.79822208993324,-0.40218072385666526
AST,2.14996209592606,8.996378716172345,-0.30039610473847245
STL,0.7691631844137863,1.1478769561569373,-0.30498634155885185
BLK,0.584972086036206,0.8337196888421959,-0.2580046784274459
TOV,1.191600844493303,2.6250019608554807,-0.32939762667576544
PF,1.4183607400265383,3.2451584490211833,-0.4787959469577203
PTS,8.113435285004378,114.32227797715888,-0.37821713065146745
plusminusPTS,9.635360214432417,151.71093397776687,-0.2353605886756991
SEC,703.7951155758088,764961.4611482072,-0.782268946303162
PTSoffTOV,1.7832373079777188,6.319309932446218,-0.29365257497758757
2ndPTS,1.5355483847246296,4.891047298607925,-0.2769366473771211
FBPTS,1.5848949188856574,5.391095436853129,-0.26389401451546823
PIP,4.101860266796375,30.800127307786937,-0.31816928752496576
oppPTSoffTOV,5.321432597072357,46.55484307179736,-0.529089413495148
opp2ndPTS,4.5809114628313266,34.858890522288526,-0.4485418677113988
oppFBPTS,4.809977902075031,38.74941105883805,-0.4231945577622227
oppPIP,13.25255328834353,275.28334584217333,-0.5988179853488842
BLKA,0.563951275634475,0.7118741609914401,-0.2649619911772143
foulsdrawn,1.7449112017061894,5.82433235062533,-0.3173002162290821
SPD,0.962638429402826,3.2076045060645413,-19.507845388435882
DIST,0.8557254561661065,1.1397744036857786,-0.817449598567074
REBchancesOFF,2.0589196364682207,8.110673462632558,-0.3431017880465699
REBchancesDEF,3.586073643703107,22.050861150695106,-0.44470441630947577
REBchancestotal,4.9507591751866995,42.17492037761932,-0.4671626508448927
touches,23.40466797513969,884.5875901417011,-0.5375087950797646
2ndAST,0.4317754243274135,0.4882796881755624,-0.23442595897820295
FTAST,0.33754859364886375,0.3393107443303094,-0.22232119569593078
passes,16.4926049028119,445.02755721977957,-0.5195829164825705
contestedFGM,1.5926407041589032,4.759837608132845,-0.31133631724440014
contestedFGA,2.736481531098652,13.373595735390886,-0.356637059194266
contestedFGpct,0.34420260612007736,0.18330009794592103,-0.4392792521014002
uncontestedFGM,1.8916924312549575,6.463389878123305,-0.3408401137778778
uncontestedFGA,3.712384795827132,23.443716156318974,-0.39348145619957475
uncontestedFGpct,0.2885978832112487,0.13513444774801267,-0.482832091704122
defendedatrimFGM,1.4270312175095987,3.7028665850075093,-0.33403637718661994
defendedatrimFGA,2.0786466345059105,8.02577141965408,-0.3514731954128807
defendedatrimFGpct,0.4038981153171771,0.23894726870054167,-0.513392269790081
