Original,Predicted
0.0,50.737236
116.6,56.908146
130.6,70.56146
105.2,55.127407
127.4,20.516033
140.2,30.102959
110.2,36.717003
102.0,-3.9464538
108.0,32.41177
124.5,15.240146
112.2,7.674213
137.4,104.48275
122.3,100.82546
120.9,87.03093
115.9,97.73661
121.7,102.31972
123.6,90.86489
94.6,84.56213
123.0,107.62009
114.5,106.93305
123.7,111.56324
137.5,105.590614
91.6,97.2269
122.2,98.347916
147.2,85.190834
108.6,103.621925
115.6,79.943375
137.0,78.85014
109.9,111.488205
114.2,87.3298
106.3,105.86844
114.6,115.84673
106.3,83.75641
114.4,113.94055
113.1,117.328285
0.0,88.687614
124.0,99.59364
115.8,92.405594
106.8,85.17654
112.9,34.770412
131.3,43.747738
112.5,52.5672
141.9,4.813297
119.8,52.602947
114.4,15.720431
110.8,0.34166268
124.4,103.66674
88.0,102.70033
127.1,92.816895
85.5,110.933365
98.0,112.021385
108.2,98.298805
103.9,109.48936
124.4,91.73785
112.8,64.81632
105.8,84.41044
122.5,59.59081
102.9,63.4197
102.0,77.814835
132.0,56.72311
134.6,81.43052
102.8,75.47337
113.6,74.54632
116.3,96.09209
