Original,Predicted
139.3,88.47472
138.9,89.73436
118.1,84.46344
92.9,69.34426
102.5,82.65376
114.9,69.96749
131.1,84.132576
145.4,97.244225
94.8,112.84552
128.4,105.33423
127.7,135.75085
122.5,132.11342
115.2,108.79151
101.8,89.49575
132.9,76.28697
83.4,128.19774
142.7,119.92516
127.9,107.03615
120.3,106.863686
115.3,122.90796
76.4,123.428734
105.7,78.78592
145.3,97.42467
128.9,107.0817
100.6,103.38936
148.2,94.21023
112.0,122.35233
126.7,133.59338
93.8,129.52829
121.5,68.46352
97.7,68.2175
88.1,122.06633
108.2,97.837074
93.2,86.00689
123.9,83.95088
117.8,114.76971
80.6,92.37513
95.9,71.262764
116.3,73.7566
129.1,77.15356
97.8,84.246185
96.6,68.78363
121.8,53.24674
95.4,91.39601
103.9,103.51186
92.4,68.68384
