Original,Predicted
102.5,98.73912
131.9,76.01382
129.1,106.414314
99.3,102.96757
141.0,85.26351
109.9,104.17593
146.7,106.62994
147.8,112.2161
103.7,115.869156
106.4,94.012024
117.8,123.666725
89.7,116.89308
101.7,100.0275
120.6,92.96263
135.0,108.429886
106.2,104.37483
109.8,85.21393
106.3,87.618996
108.0,101.9572
114.0,81.9048
103.2,80.61706
118.7,79.6412
139.8,97.43574
137.1,97.70256
145.6,86.9345
99.9,94.461685
82.9,96.06895
102.5,103.15798
121.2,113.03
120.6,94.87944
171.2,88.49793
100.0,106.8681
128.7,105.585625
0.0,105.17751
125.7,90.17886
121.6,92.35382
137.4,110.08932
105.6,37.329937
107.0,108.33569
127.0,93.97343
97.7,126.68211
110.4,45.640175
0.0,72.39275
120.6,70.21548
130.0,106.715836
105.2,100.318
120.1,18.904957
129.0,86.28265
0.0,87.80914
147.0,66.59478
115.8,64.66151
126.5,78.532265
96.6,33.81954
164.1,93.45036
103.6,99.233765
122.6,112.0151
114.1,47.970524
132.8,110.44984
111.6,94.76352
120.9,109.81933
119.7,89.5143
133.2,123.93339
114.9,103.147026
110.1,103.18711
127.1,95.13165
120.1,116.39495
90.7,99.85617
97.5,90.23231
121.5,99.89257
109.9,110.06519
88.2,85.71736
93.1,73.324905
136.9,91.101555
123.9,101.73409
100.7,71.72652
88.4,59.272514
