gameid,playerid,estOFFRTG,OFFRTG,estDEFRTG,DEFRTG,estNETRTG,NETRTG,ASTpct,ASTtoTOV,ASTratio,ORBpct,DRBpct,REBpct,TOVratio,effFGpct,TSpct,USGpct,estUSGpct,estpace,pace,paceper40,POS,pie,home_basic,FGM,FGA,FGpct,3PM,3PA,3Ppct,FTM,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,plusminusPTS,home,win,date,team,name,SEC,PTSoffTOV,2ndPTS,FBPTS,PIP,oppPTSoffTOV,opp2ndPTS,oppFBPTS,oppPIP,BLKA,foulsdrawn,SPD,DIST,REBchancesOFF,REBchancesDEF,REBchancestotal,touches,2ndAST,FTAST,passes,contestedFGM,contestedFGA,contestedFGpct,uncontestedFGM,uncontestedFGA,uncontestedFGpct,defendedatrimFGM,defendedatrimFGA,defendedatrimFGpct,date_num
22201216,1630551,117.3,117.5,111.7,115.8,5.6,1.7,0.2,0.0,20.0,0.091,0.111,0.1,0.0,0.208,0.208,0.245,0.255,96.18,94.39,78.66,40,0.022,1,2,12,0.167,1,5,0.2,0,0,0.0,2,2,4,3,1,0,0,0,5,3,3,1.0,2023-04-09 00:00:00,3,290,1190,0,2,0,2,7,7,8,16,2,0,4.47,1.54,6,2,8,35,0,0,21,1,5,0.2,1,7,0.143,2,2,1.0,164.0
42200212,1630551,134.1,140.0,89.3,90.9,44.8,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.175,103.87,100.8,84.0,10,-0.146,1,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,4,3,1.0,2023-05-03 00:00:00,3,290,300,0,0,0,0,2,3,0,4,0,0,4.01,0.36,0,1,1,6,0,0,4,0,0,0.0,0,2,0.0,0,0,0.0,186.0
42200217,1630551,66.7,50.0,154.6,150.0,-88.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.5,79.9,92.9,77.42,4,0.0,1,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-4,3,1.0,2023-05-14 00:00:00,3,290,124,0,0,0,2,2,0,2,2,0,0,3.89,0.15,0,0,0,5,0,0,3,1,1,1.0,0,1,0.0,0,0,0.0,196.0
42200304,1630551,212.8,200.0,100.0,100.0,112.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.59,94.43,78.69,2,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,16,0.0,2023-05-23 00:00:00,3,290,61,0,0,0,0,0,2,0,2,0,0,3.46,0.08,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,204.0
42200305,1630551,75.0,60.0,125.0,125.0,-50.0,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.13,91.27,76.06,5,0.0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,3,1.0,2023-05-25 00:00:00,3,290,142,0,0,0,0,0,3,0,2,0,0,3.55,0.16,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,205.0
22200011,1630563,81.6,84.2,117.5,110.0,-35.9,-25.8,0.357,1.67,23.8,0.0,0.115,0.048,14.3,0.273,0.392,0.239,0.239,106.77,108.63,90.52,57,0.056,1,3,11,0.273,0,3,0.0,4,4,1.0,0,3,3,5,0,1,3,2,10,-18,27,0.0,2022-10-19 00:00:00,27,284,1551,4,0,0,6,14,7,6,22,2,5,4.45,2.09,4,8,12,59,0,0,42,2,5,0.4,1,6,0.167,2,4,0.5,2.0
22200018,1630563,136.7,137.5,109.7,104.0,27.0,33.5,0.304,2.33,53.8,0.0,0.19,0.114,23.1,0.5,0.521,0.118,0.119,110.31,112.99,94.16,48,0.068,0,1,2,0.5,0,1,0.0,1,2,0.5,0,4,4,7,1,0,3,2,3,14,12,0.0,2022-10-21 00:00:00,27,284,1249,0,0,0,0,9,4,12,28,0,2,4.7,1.75,0,4,4,34,0,0,27,0,0,0.0,1,2,0.5,3,3,1.0,4.0
22200028,1630563,123.0,124.4,106.3,106.4,16.7,18.1,0.222,4.0,30.8,0.0,0.111,0.061,7.7,0.313,0.313,0.17,0.175,100.52,99.91,83.26,45,0.04,0,2,8,0.25,1,4,0.25,0,0,0.0,0,3,3,4,0,1,1,2,5,6,23,0.0,2022-10-22 00:00:00,27,284,1326,3,0,0,2,9,9,3,16,2,0,4.41,1.73,3,7,10,33,1,0,24,1,4,0.25,1,4,0.25,1,4,0.25,5.0
22200050,1630563,107.3,110.9,123.9,122.6,-16.5,-11.7,0.095,0.5,16.7,0.063,0.043,0.055,33.3,0.8,0.791,0.152,0.154,106.68,105.39,87.82,55,0.044,0,3,5,0.6,2,4,0.5,2,3,0.667,2,1,3,2,0,0,4,2,10,-4,18,0.0,2022-10-24 00:00:00,27,284,1476,4,0,3,2,14,13,5,28,0,4,4.44,1.97,3,3,6,46,2,0,32,1,1,1.0,2,4,0.5,0,0,0.0,7.0
22201217,1630564,107.2,108.2,121.6,125.7,-14.4,-17.5,0.35,1.75,29.2,0.075,0.176,0.122,16.7,0.583,0.621,0.205,0.206,102.72,100.56,83.8,73,0.107,1,6,12,0.5,2,5,0.4,2,2,1.0,3,6,9,7,0,1,4,5,16,-14,2,0.0,2023-04-09 00:00:00,2,441,2105,2,2,0,8,15,10,10,38,0,1,3.95,2.51,4,8,11,54,0,1,37,2,4,0.5,4,8,0.5,0,0,0.0,164.0
