Original,Predicted
115.5,95.417694
125.6,94.79848
107.8,79.97788
108.3,77.19647
107.6,103.60718
110.7,81.864395
120.7,79.54234
115.1,97.841866
131.8,95.45087
117.7,95.632034
135.6,102.44298
118.5,105.23612
114.9,95.97768
102.0,89.42188
89.1,87.644295
117.8,77.62987
117.7,92.157394
112.2,93.5199
124.5,96.257195
115.0,98.014885
138.7,100.97521
123.6,111.30269
131.4,94.89097
113.9,82.56515
136.7,91.29111
129.7,107.83067
109.1,114.71419
129.6,100.48617
105.2,107.44796
104.4,105.12884
149.1,112.87744
128.2,114.6202
0.0,110.98037
90.0,70.849365
94.5,59.482357
122.9,69.24792
133.0,96.931725
118.7,75.659996
117.5,42.36157
130.4,131.19092
120.7,127.05891
115.0,49.362873
132.6,26.908531
99.6,73.23448
97.5,87.38589
119.0,101.244896
135.8,95.26943
103.7,102.65614
106.6,105.92126
