Original,Predicted
94.2,88.06863
116.3,109.060936
95.8,101.92229
101.5,97.523544
104.5,83.5645
123.0,100.62382
110.5,97.86133
134.4,86.27075
106.3,89.51117
127.1,102.6261
93.9,103.21572
102.0,108.442505
91.3,98.581764
115.3,115.760826
113.3,101.32874
116.9,110.258064
116.5,94.12952
100.1,112.02621
105.0,98.02822
89.6,102.85123
109.8,93.07781
0.0,97.40451
71.1,78.81083
94.3,93.25115
72.2,107.61179
102.4,31.76044
126.3,62.62955
122.5,68.77854
119.9,75.56998
92.8,49.265297
0.0,62.204346
0.0,66.2248
106.6,75.80908
100.6,93.15547
96.8,44.310223
104.7,30.249401
107.1,80.84478
101.9,85.728676
124.9,50.052593
96.5,30.875084
106.4,58.836292
86.7,84.44257
121.5,97.0723
103.4,94.347374
98.6,95.773254
0.0,80.52837
108.9,88.02692
133.7,103.671936
126.9,104.900986
108.0,30.716263
115.0,83.50846
127.1,103.72833
110.8,121.35812
117.3,60.66262
126.7,83.826126
110.0,115.934906
104.7,118.02968
78.4,113.070015
105.4,109.64469
108.6,116.22361
135.8,107.916046
114.0,94.69878
86.9,102.5192
128.4,96.82818
90.6,123.112564
95.1,91.24424
150.3,83.008575
112.3,115.90007
108.2,100.207924
110.3,103.43777
