Original,Predicted
0.0,100.03739
0.0,85.782486
0.0,71.51409
0.0,64.66177
0.0,62.119957
0.0,51.996227
0.0,34.410236
0.0,40.260113
80.5,32.369675
111.1,20.98515
109.5,19.820873
97.6,29.361706
110.2,32.879513
133.7,41.611652
154.8,61.3372
106.0,64.30272
85.1,56.372116
114.1,68.70151
107.0,100.44077
111.7,111.24922
105.0,104.92513
69.9,93.308105
103.7,99.36701
84.8,117.36162
112.0,104.03534
129.9,91.92259
117.7,98.145836
129.8,102.564545
114.2,113.26869
90.3,106.51048
92.4,96.53817
144.1,92.02373
122.1,100.31607
101.6,108.186295
125.2,109.34857
127.9,110.463974
105.4,120.45446
122.1,121.61505
108.4,101.45494
103.1,96.18489
141.3,113.60369
125.6,122.03269
157.8,111.244675
108.2,123.35114
117.4,120.74395
92.6,115.01724
100.4,114.143005
109.5,106.35664
104.9,106.090485
131.7,103.59094
121.9,119.94465
112.4,121.86361
109.5,119.75562
103.2,109.416214
121.7,102.19636
130.4,104.36911
117.6,107.3267
114.7,107.70188
127.5,112.35032
119.7,118.54125
118.0,117.76619
122.2,112.135155
112.8,107.14973
108.3,110.83665
0.0,117.04074
0.0,91.124214
0.0,71.02162
0.0,65.54398
