Original,Predicted
119.0,87.922745
96.7,99.6281
118.8,85.68513
102.1,89.66792
124.4,95.28936
142.9,84.90176
108.3,98.71319
130.2,103.76735
99.1,84.64001
130.4,105.8864
105.1,103.035065
82.9,105.516174
114.2,103.76489
95.6,93.88494
111.5,102.8732
117.6,100.88458
104.2,93.397835
111.1,102.77438
92.0,86.21824
110.9,108.77632
127.6,89.53774
97.5,80.60762
110.5,98.91375
116.6,85.92055
124.3,101.45852
137.0,98.405914
104.3,95.472244
129.9,108.66349
129.3,91.37731
103.6,111.88532
108.0,115.46823
131.7,101.54054
140.5,106.32697
111.8,106.22842
118.4,113.02739
120.4,122.80401
150.0,108.85201
171.1,112.03826
102.2,120.87444
144.2,118.4936
132.6,109.6529
135.2,141.9355
131.4,126.17888
122.2,124.948746
113.5,123.89654
123.1,121.17517
115.2,128.24673
154.1,143.90347
98.8,98.362885
148.4,135.00426
99.6,109.27374
129.8,138.25775
129.3,105.66523
108.0,125.99345
112.6,104.8236
97.0,115.86295
