Original,Predicted
149.3,103.631935
133.6,99.10847
86.8,104.70239
112.9,115.247604
111.5,109.423904
103.3,114.64874
100.5,102.95106
93.7,115.02741
166.7,99.486916
158.7,93.06555
130.8,126.12611
81.0,121.76315
125.0,118.32655
104.2,117.786285
133.8,123.994736
34.7,103.8454
111.1,120.342415
97.9,85.42831
79.3,131.83833
80.3,102.33381
110.9,109.60684
142.3,80.805115
93.3,99.16494
103.4,96.40507
115.6,112.477066
100.4,81.62013
114.6,106.48836
101.4,102.3983
99.5,101.72174
62.7,95.62148
135.9,107.425735
131.9,107.72157
111.2,102.5179
105.9,96.10343
113.5,115.60105
114.0,106.25404
66.7,112.66412
