Original,Predicted
97.0,106.99943
102.5,110.02465
94.1,113.165085
131.2,99.36901
130.6,112.930374
120.6,101.19293
89.9,109.65126
100.5,126.44317
119.8,105.1394
107.8,111.713264
117.0,99.21511
105.9,102.31583
118.3,102.25304
131.3,113.00918
132.0,118.337135
125.5,115.996666
111.2,106.08158
103.7,114.64162
81.3,124.86904
93.3,114.90278
113.5,109.59782
117.7,100.26377
68.9,100.93037
159.5,110.59568
102.4,97.53527
134.2,122.598915
80.9,86.5047
105.2,123.72681
112.9,83.24193
122.8,104.13057
100.3,97.43839
97.5,115.08237
108.8,80.18793
85.0,129.41275
105.9,97.68976
110.5,108.82978
151.1,89.68406
111.5,90.9009
130.1,110.766426
74.9,108.92739
87.5,120.70078
112.1,95.1337
148.7,110.393524
113.6,82.48227
84.4,105.690475
115.7,103.25368
88.9,127.745445
113.0,107.66362
104.4,104.76334
112.4,92.67938
105.7,85.943985
