Original,Predicted
97.8,93.385345
123.2,110.71518
123.9,95.695465
118.9,120.73101
119.0,81.605415
120.8,120.850266
144.8,108.76026
135.7,119.91944
123.4,112.66904
109.4,129.91669
136.1,114.26583
104.8,119.39353
132.9,124.82029
125.4,110.19034
67.7,123.433266
110.7,112.46422
102.2,115.32108
131.7,118.72816
115.2,93.99703
95.6,102.61219
135.7,110.84762
102.0,96.095375
73.6,116.01092
80.1,107.80871
135.8,82.446205
101.3,91.04709
103.2,89.77809
84.4,95.939224
100.3,106.80975
114.1,80.38448
93.2,104.09753
120.9,90.69429
122.3,76.32603
131.2,84.76644
171.7,106.837875
127.2,97.28425
119.0,113.55224
101.9,102.23321
114.4,121.46234
106.6,115.26085
130.8,105.55092
124.0,107.99143
79.3,115.297554
137.0,112.41382
134.3,124.64006
119.0,118.26984
116.6,104.346115
137.9,107.98246
110.5,111.676674
102.8,110.993
144.1,116.331566
89.3,118.243835
120.3,98.609474
102.8,109.00769
98.2,126.824265
