Original,Predicted
139.3,105.6368
138.9,82.97353
118.1,109.186676
92.9,90.15134
102.5,110.493416
114.9,104.68702
131.1,109.354515
145.4,91.58105
94.8,116.84115
128.4,114.26905
127.7,119.940506
122.5,134.79486
115.2,113.86131
101.8,111.20917
132.9,113.41041
83.4,111.46296
142.7,123.76325
127.9,115.651115
120.3,112.42288
115.3,110.48732
76.4,127.17494
105.7,120.48815
145.3,107.7145
128.9,99.28877
100.6,116.48536
148.2,94.033646
112.0,123.30437
126.7,128.36201
93.8,109.51841
121.5,129.91904
97.7,90.874954
88.1,114.23954
108.2,116.36086
93.2,115.18041
123.9,94.66203
117.8,109.43772
80.6,104.1452
95.9,109.46377
116.3,91.66459
129.1,107.00614
97.8,91.00945
96.6,93.08326
121.8,103.675995
95.4,95.633415
103.9,109.65634
92.4,103.517944
