Original,Predicted
111.9,109.1383
113.0,115.87263
126.7,114.39867
111.0,110.71082
64.6,117.763824
145.1,117.683205
110.0,96.18364
96.7,132.19289
118.2,88.26628
140.6,101.53353
58.4,100.1957
122.9,106.16018
102.6,97.17265
115.8,117.037895
103.9,62.5246
108.3,120.4112
125.4,96.94004
121.0,93.10935
127.1,102.45405
102.5,118.39107
105.8,86.60383
113.0,113.47371
104.5,105.77585
112.4,108.08014
166.8,101.03893
94.4,99.35489
131.7,119.59304
132.9,102.075516
111.8,131.04742
113.4,103.87943
107.7,111.75004
98.2,115.828094
114.5,105.54033
90.0,100.16431
109.9,130.8716
91.4,87.84554
