Original,Predicted
113.6,105.29089
131.2,104.52575
68.4,106.0511
122.0,101.430954
95.3,103.23329
107.0,96.579
99.7,96.50862
103.2,118.80764
121.8,91.2593
113.1,106.91692
140.9,99.086006
121.2,109.91693
123.0,88.56131
130.8,114.17536
102.5,109.64451
124.1,116.71447
128.5,107.317116
124.2,114.82863
123.7,118.26928
121.1,116.48624
116.1,132.61247
125.6,122.40448
123.1,120.09256
117.5,128.41245
95.2,111.242874
118.2,123.501434
119.7,117.694336
114.3,119.235756
108.5,111.37584
127.2,116.34348
100.8,109.198715
105.9,119.134735
117.8,109.608246
109.2,115.17398
106.3,97.46319
121.7,108.605774
50.0,110.33784
103.7,110.82453
