Original,Predicted
92.8,124.63805
119.1,104.46749
119.7,97.74349
133.6,110.56729
97.0,104.80204
115.9,97.989006
102.7,126.15473
118.0,121.099304
123.2,94.969376
133.2,115.81573
101.8,92.467926
84.3,122.52016
118.2,114.15304
104.4,123.11814
115.9,96.48624
132.3,97.4892
101.3,99.82728
86.4,110.838425
112.6,110.2713
123.2,118.580246
113.2,97.38327
86.5,79.57892
108.6,112.86151
108.4,94.46107
125.5,105.033066
128.8,104.68751
112.4,100.502914
118.3,90.456795
103.3,110.29772
110.2,124.94911
113.1,111.35644
129.6,95.78817
97.4,104.798164
109.9,111.34949
95.5,111.681175
101.7,127.44484
100.4,96.70764
118.9,109.00166
