Original,Predicted
108.6,81.48741
119.0,93.69118
141.1,88.61707
88.4,91.69177
97.0,118.50259
109.1,105.95381
98.5,92.0522
107.6,93.431
111.0,90.76963
114.6,106.067
89.6,100.709305
112.6,108.428375
124.4,116.72637
127.9,97.25809
103.9,95.78544
82.1,113.551025
100.6,106.64702
101.1,106.699066
99.5,104.59789
112.2,101.3105
91.8,88.945305
122.6,102.93828
104.2,100.18263
132.5,116.895584
106.8,94.19278
123.0,100.407936
105.9,98.585846
101.3,115.8125
122.2,102.668564
104.4,114.526634
118.6,101.778915
107.2,112.78622
117.2,110.75402
107.1,118.10063
97.1,111.83331
136.9,115.75133
96.6,105.009384
100.8,109.27068
134.5,109.0509
107.1,108.45849
100.2,114.76649
96.1,103.87384
97.6,118.23531
141.0,104.36602
89.5,89.592545
110.4,124.707504
141.1,90.82213
119.0,105.861046
120.5,119.16869
99.0,108.67723
135.7,117.54118
129.6,102.30246
87.2,110.73663
129.0,131.3771
105.5,101.97166
109.6,120.54934
112.9,118.54952
93.0,119.64201
147.9,116.1508
62.9,93.07674
120.6,129.6655
75.1,100.633644
136.7,108.35197
116.6,88.57384
118.3,111.420006
113.7,90.647125
