Original,Predicted
110.1,102.13665
105.8,108.66476
121.6,95.21923
122.4,88.22124
99.4,106.87862
86.7,107.944046
122.4,93.007744
100.5,107.49364
98.2,105.98405
122.7,86.2078
113.4,108.36702
108.6,105.10288
117.4,109.46905
118.6,114.974495
96.4,107.70381
126.2,102.21755
138.6,113.40725
111.3,110.98647
115.8,107.23328
96.0,119.42476
30.799999999999997,121.16912
57.5,110.223885
155.1,98.63428
119.0,94.10333
100.0,84.92862
55.1,93.02594
121.1,119.17966
101.1,89.28838
169.2,104.42664
133.3,82.63203
91.7,86.95517
120.5,84.60548
96.7,132.58987
132.4,120.36092
141.6,103.157074
117.7,93.6215
107.6,118.49876
85.6,111.00713
116.2,138.21625
88.7,118.169685
86.8,104.8845
125.8,106.33874
93.0,97.90489
107.5,111.09381
111.2,108.06238
151.8,111.097046
80.4,99.60082
125.6,103.45758
128.8,104.09095
129.7,113.26185
88.1,95.128235
122.3,125.53318
98.0,102.811584
115.2,117.70765
86.2,100.314186
