Original,Predicted
89.2,97.956276
104.6,103.4526
117.8,88.58773
110.1,110.46278
104.2,97.60169
120.6,99.202736
113.0,105.71281
120.9,104.81587
124.8,91.41726
115.8,104.897514
117.6,102.66121
127.8,109.748
106.4,117.16207
111.3,116.17111
115.1,108.79077
135.4,119.79686
120.2,109.4539
102.3,118.26037
105.8,118.996124
124.8,116.77789
148.0,112.21691
115.8,115.64889
85.8,113.19303
98.7,115.35602
104.7,114.52963
123.9,117.70103
136.8,104.77685
162.0,102.17967
106.7,102.7793
91.7,122.52546
107.3,129.39111
130.1,122.741066
135.2,98.112236
141.3,104.75343
40.0,108.57166
63.7,125.21043
128.1,107.80054
73.8,122.501595
107.1,89.92015
105.3,73.75383
84.9,97.73176
125.3,93.467514
