Original,Predicted
163.9,76.322395
74.4,106.28152
130.2,104.06814
94.3,113.43561
133.3,119.10582
150.8,95.31314
130.1,95.96286
133.0,107.30338
101.7,130.04224
116.9,124.160805
153.5,128.91707
87.2,110.3579
110.3,124.47305
119.1,110.94677
94.2,123.99551
80.0,120.73992
110.5,116.66233
113.4,116.15008
73.3,108.94437
104.9,109.00837
129.5,116.83896
113.5,105.83887
0.0,108.24391
92.8,114.33689
76.9,99.85136
103.1,103.45842
102.7,91.09598
100.0,106.45927
0.0,93.50695
114.2,104.80565
62.5,96.66967
200.0,110.854546
