Original,Predicted
109.2,105.478615
124.9,100.95911
108.5,129.2364
75.3,77.12105
95.0,112.083145
101.2,100.078354
134.2,102.96802
122.9,78.02723
114.0,117.38539
136.6,81.253975
113.6,102.129166
113.6,117.48012
128.7,107.3181
90.7,95.77353
115.1,106.832275
126.2,97.199524
115.2,122.685974
121.8,108.99656
155.1,106.343956
121.5,119.8925
105.9,117.11046
115.9,111.99183
129.1,129.92738
137.7,102.0737
101.3,112.26537
120.3,124.45478
94.3,112.21111
108.4,121.04373
95.0,120.04018
81.0,115.2419
119.2,93.53861
135.3,93.95192
130.1,101.871254
138.2,107.54258
120.5,96.74069
140.3,118.80583
126.5,101.267746
109.8,120.81527
128.6,111.50447
125.5,103.34502
115.1,122.76189
89.9,125.38652
107.6,124.01655
126.3,120.23964
75.4,109.00444
117.1,115.59158
101.7,101.11265
104.8,106.39003
93.0,95.217384
98.5,107.33649
120.5,95.74292
121.9,82.96089
143.3,91.80655
99.0,105.01038
117.7,91.46553
108.3,105.65273
91.6,111.745735
112.1,101.02378
147.5,95.4701
106.5,94.41183
127.7,109.87454
131.9,102.753914
106.0,132.78636
101.8,102.58811
119.0,114.94136
102.9,110.3827
99.9,98.637924
89.3,99.28291
121.6,122.77454
96.4,90.660965
