Original,Predicted
133.2,71.361404
95.5,78.72504
134.3,87.658875
95.7,85.18834
117.9,80.43273
125.3,106.00201
123.5,90.96325
132.0,93.60439
124.6,105.601326
114.3,109.13266
89.1,127.28721
144.8,109.65711
100.9,118.87716
81.9,112.17199
107.6,105.073074
82.7,116.50708
107.1,108.15534
111.1,99.67163
66.4,106.97549
103.7,99.52752
90.1,78.72558
121.3,114.17452
123.7,81.44404
101.8,86.198074
120.2,97.93752
138.3,88.94006
114.0,104.023026
149.9,111.28191
83.8,87.60176
92.7,123.60385
108.8,97.17774
136.0,119.86438
118.8,106.443146
100.1,103.884636
116.4,109.8547
123.1,121.42584
111.1,107.76661
108.3,124.79885
127.7,99.54845
134.1,102.65151
115.4,109.181984
119.0,123.229225
107.0,119.137474
121.6,114.05388
138.3,113.07327
135.3,119.71228
128.5,115.28597
134.0,116.09048
104.8,127.01896
139.0,134.60097
127.8,117.21484
120.3,129.71565
104.7,114.09995
133.9,126.69267
98.2,124.67065
131.5,129.87256
110.7,111.65165
116.1,132.23192
108.9,102.19322
103.2,127.73983
132.3,115.4957
102.9,112.37571
106.0,108.36623
136.0,115.9332
115.8,103.90879
149.2,119.62276
100.1,105.18105
80.0,125.37465
77.0,110.52576
90.1,109.335304
113.0,108.2324
