Original,Predicted
120.1,100.52827
118.3,121.05338
117.0,106.44809
103.1,109.18394
105.0,113.53769
126.2,119.67934
92.8,102.32896
88.3,115.75729
121.2,114.407455
98.5,103.55668
97.4,110.81997
73.8,104.853775
93.2,111.76415
143.7,96.05241
106.3,95.219215
111.4,108.68249
98.0,95.55131
141.0,104.45031
95.5,106.26816
146.0,110.171776
99.5,98.920815
79.4,110.83112
121.4,98.687035
112.1,123.944756
117.4,107.54121
124.1,104.80375
148.4,104.84046
97.2,120.36469
108.8,110.14834
97.4,123.902794
134.0,118.9529
139.5,94.37087
123.6,118.979904
91.7,113.06357
96.0,121.37953
146.8,117.3393
124.3,123.884865
74.3,108.36423
105.1,112.562904
94.8,105.93614
79.8,119.439316
111.9,108.842026
54.50000000000001,106.213554
146.6,98.756775
0.0,78.48562
118.1,121.482574
115.6,75.49914
116.6,95.28331
85.0,72.37167
123.9,99.19818
