Original,Predicted
100.1,89.01841
100.0,112.321175
68.5,91.59868
88.1,118.84383
111.0,90.36961
135.0,96.591896
111.3,93.48632
126.1,84.31348
108.3,89.29925
128.5,139.57884
101.7,100.48093
119.0,111.52484
115.0,92.57158
90.8,106.61748
102.9,107.301186
155.6,115.39188
141.7,103.85298
124.7,114.064545
117.8,106.879684
115.8,125.31191
118.0,113.03504
120.4,117.343956
130.2,116.34935
82.3,107.027145
149.3,111.143654
131.6,118.31391
100.6,128.79756
130.0,110.98937
90.7,116.23702
127.4,117.77828
117.2,105.30331
98.8,117.062065
109.6,113.844086
120.7,97.43726
34.7,119.200615
