Original,Predicted
118.5,100.83734
147.2,121.69457
107.1,107.78372
71.4,119.982445
105.2,118.034615
88.5,109.06802
111.0,103.25258
122.5,108.27335
136.6,99.26338
118.3,109.022026
66.8,108.09212
85.3,120.74399
121.9,106.21643
92.9,90.42994
93.4,99.560814
90.9,90.69484
40.0,102.71474
100.0,99.86702
125.0,93.25808
149.6,98.350334
86.2,72.5412
122.7,93.622154
156.0,101.14501
128.9,103.56251
116.0,100.74786
117.8,108.61049
113.2,95.01032
112.3,111.70725
124.0,115.134926
134.0,125.25223
152.9,103.85657
127.0,114.16661
142.7,131.80496
116.4,122.12035
156.4,126.67834
136.3,117.78445
111.3,127.377846
67.7,119.8687
138.3,127.624886
125.4,114.47103
93.3,128.80257
100.0,106.770485
101.4,121.17016
108.9,107.124344
130.3,114.15746
7.799999999999997,110.08097
105.2,110.81286
88.8,70.87856
100.9,113.67219
171.4,81.78815
127.9,86.76458
83.3,96.48816
91.1,97.79032
56.9,106.51509
116.3,117.1342
106.6,57.364044
118.1,101.774895
122.3,85.018524
