Original,Predicted
98.2,108.77583
93.7,115.8369
89.5,84.832115
93.2,101.4259
131.6,109.38999
92.8,98.96908
91.1,110.17243
108.1,111.15385
102.9,111.32302
164.5,105.231705
81.4,100.7982
86.8,113.95422
150.1,101.86512
79.4,109.57713
172.6,119.7947
96.3,96.90757
124.0,121.629616
103.8,104.3314
64.0,121.377495
160.6,127.26706
92.6,99.80914
123.9,109.51926
114.4,113.61026
135.8,109.44737
134.5,125.69726
107.3,112.81889
112.9,121.84233
123.8,119.60301
68.7,103.430084
139.2,133.5521
120.8,103.06997
87.2,125.46901
106.7,108.45035
122.1,120.79035
106.9,119.85912
99.2,109.82313
106.3,111.5963
20.0,118.8793
50.0,99.288925
62.5,104.33035
66.7,104.30455
105.2,76.848366
