Original,Predicted
127.6,95.11603
132.5,87.06803
103.6,96.5629
131.1,116.358376
100.3,108.46548
123.2,107.18705
125.8,98.73251
111.6,109.06987
104.2,99.55427
103.5,110.92798
115.0,115.1358
118.2,114.63684
107.7,92.532005
92.5,114.76442
117.0,93.72545
124.1,101.76088
104.2,108.18199
113.9,96.706375
106.2,95.06487
96.7,100.00086
131.4,98.73475
104.8,98.25012
89.0,103.88302
111.5,79.546364
133.7,100.85949
119.9,101.90483
107.0,89.663185
133.6,102.72317
120.9,101.146324
102.3,98.08016
143.5,118.35719
113.8,103.357605
110.8,103.242905
135.5,100.60502
129.3,129.2947
111.9,118.82898
101.7,106.76432
154.6,130.24794
112.0,112.916115
118.3,109.3965
150.7,121.50165
103.8,122.9851
135.1,115.03611
112.9,119.38763
121.8,142.3917
113.4,106.58313
115.7,108.97283
111.1,134.86366
109.6,111.8502
114.3,105.79528
99.6,130.75162
112.4,97.24845
116.4,112.800415
107.6,103.070694
114.6,104.74219
118.6,100.51484
128.6,105.50286
105.0,99.97777
125.0,106.41649
95.0,104.81202
