Original,Predicted
122.1,102.46086
114.7,106.810104
143.5,113.22341
116.7,100.736275
127.7,116.00746
134.9,101.08033
142.8,117.458725
135.8,106.97926
106.9,128.28871
108.9,119.7621
117.4,118.66819
117.0,105.63679
129.1,118.13137
133.8,96.15031
100.3,107.88297
121.6,114.32636
110.9,111.97983
126.3,121.569374
119.2,83.545616
125.4,98.09032
127.9,95.933304
118.3,102.491844
124.8,109.43005
111.5,116.04893
129.0,95.965195
137.7,103.863235
116.5,101.59647
138.2,112.446526
125.8,104.86768
137.9,121.394165
132.5,111.99987
108.7,118.27475
123.6,120.87621
121.9,106.28352
135.2,119.871925
138.6,115.7911
148.8,107.903206
106.4,122.81928
126.2,125.364365
122.8,121.39496
118.9,133.88135
137.4,97.02944
86.9,112.49505
121.3,114.000114
157.3,101.239456
126.2,115.95225
131.9,119.562485
99.2,92.229004
118.2,126.52599
128.0,102.565254
120.4,105.079124
125.4,113.22846
124.6,79.56182
114.9,104.08538
146.9,129.68335
125.6,103.50103
119.6,124.31218
80.7,91.25625
109.4,116.67218
117.9,99.7917
133.7,99.86544
120.8,84.34551
101.8,102.28042
116.0,90.28127
124.1,114.160645
105.7,100.28473
115.1,98.08412
132.0,67.47278
129.8,91.93079
128.6,94.52202
137.4,109.88645
106.5,109.16831
124.6,102.17795
120.4,101.02444
113.7,120.364075
107.0,93.27678
118.6,102.23382
113.5,106.65181
99.7,106.09426
