Original,Predicted
94.1,105.467606
101.3,118.86348
102.0,84.238525
136.9,129.66502
100.7,98.1519
111.4,115.31957
120.8,95.7802
108.8,115.426895
127.4,99.63259
102.9,105.997635
125.1,102.99276
100.8,97.507576
101.5,106.83764
116.1,113.74807
136.3,101.76151
87.2,100.016426
132.7,112.734886
107.9,94.24487
131.8,124.99834
120.6,88.97803
139.6,122.3258
126.7,99.21831
110.8,112.44793
111.0,113.919426
119.5,131.25955
117.2,99.64234
123.2,122.463806
89.2,106.53572
105.4,123.06804
92.5,105.674904
123.4,120.379776
98.7,99.39744
121.8,104.42511
136.9,90.931274
112.8,108.611664
63.8,104.42315
120.1,115.54512
70.6,86.715195
84.3,106.73901
100.1,68.30947
99.9,102.145805
130.3,73.9151
101.6,84.82234
107.6,105.19263
105.9,92.97435
118.5,76.679565
127.1,100.789345
141.9,81.94198
137.0,89.44178
121.1,106.3305
108.2,107.82087
124.6,129.60501
91.0,110.94855
109.4,116.52982
140.4,101.45168
141.3,112.14872
102.7,110.44745
129.6,124.48933
132.6,121.0095
140.6,123.38531
109.3,105.80392
110.8,129.0409
122.4,106.11565
76.5,115.28448
120.2,123.440674
91.4,113.96121
