Original,Predicted
133.2,104.22461
91.1,88.863434
98.9,112.84732
122.1,87.53608
96.2,115.976425
111.6,98.669334
101.4,79.350006
110.9,105.65594
95.6,87.314354
113.6,83.753784
123.5,102.65836
110.5,81.51821
87.0,82.663185
128.7,110.409645
131.6,78.81013
115.4,104.0229
112.7,85.77234
117.3,110.97258
110.2,96.94266
113.6,108.48321
98.0,113.28135
114.6,111.53561
94.6,76.63935
113.8,116.366875
117.3,102.196625
125.6,104.94759
133.9,91.090935
134.5,106.589325
119.1,104.83411
111.9,119.64915
122.5,107.67578
130.9,122.731224
115.5,102.835205
115.7,119.81016
112.2,119.87399
117.0,128.29657
122.0,124.19273
127.6,127.06666
92.2,116.23111
129.4,114.676926
120.4,106.96121
119.0,133.30867
112.2,100.96144
96.8,119.558014
118.7,109.172005
125.8,104.174484
107.7,110.66079
128.0,115.99154
104.2,84.90352
111.1,128.24892
103.7,105.21842
136.1,117.34338
129.9,96.67034
111.1,97.54446
111.6,108.65846
118.6,126.79748
119.9,106.531235
107.9,121.58599
89.4,104.22065
121.2,110.74036
118.5,89.23737
113.7,120.202415
115.1,106.61825
115.4,104.949585
