Original,Predicted
105.9,116.069115
100.6,112.08807
79.4,113.07122
100.7,92.54584
147.1,112.6445
102.7,94.55984
106.8,113.53551
122.6,103.44729
123.5,118.971176
84.2,99.420395
152.7,111.05025
130.9,103.35926
63.5,108.86046
104.4,103.93006
103.9,124.08954
96.4,110.851654
115.4,97.09828
105.9,106.59175
104.7,111.9434
122.7,91.246574
146.4,118.08281
154.0,114.73508
100.1,93.46243
100.9,117.62315
110.8,116.86211
129.9,115.7106
100.7,113.07176
85.5,114.30291
104.4,108.87224
114.8,112.69383
81.9,115.37764
116.5,119.48521
120.9,98.34088
96.9,105.23271
115.0,102.247986
163.5,112.60657
107.0,104.37859
0.0,105.3592
122.9,108.79405
101.6,102.247925
78.6,98.41573
111.3,81.447685
117.3,102.618774
89.4,90.81257
