Original,Predicted
105.2,86.12376
120.3,108.38945
89.2,117.39071
97.8,106.468925
129.2,89.42182
94.8,104.37497
114.5,106.70744
102.8,96.20413
74.5,112.34849
100.4,106.99761
97.1,99.33418
60.4,109.986595
125.7,88.83989
123.3,83.38682
72.2,111.234634
119.8,86.67833
114.7,99.20597
90.1,107.02917
95.5,83.26114
110.0,101.43707
91.5,101.8102
107.4,80.87697
136.6,104.30483
99.2,112.10147
129.4,90.78323
135.2,106.95388
100.7,120.34847
45.3,105.63328
103.6,110.262505
119.3,104.9528
111.6,98.09827
118.3,88.57879
94.3,115.35469
102.7,102.078224
96.9,109.335526
112.9,117.89132
113.2,100.384605
137.1,79.285164
101.9,101.2558
96.3,119.21038
86.5,109.38081
98.2,120.585144
127.1,97.6591
108.0,101.42621
114.8,100.31915
81.1,105.1778
76.5,113.3387
84.9,114.5828
119.3,100.72081
121.9,89.33956
93.1,89.131355
148.6,94.298706
122.2,106.750145
102.8,112.92677
154.2,109.60641
131.2,103.11545
112.2,109.1937
113.2,105.651794
84.0,129.5863
116.2,129.6121
106.3,100.256454
141.6,131.00581
127.8,109.068794
115.8,111.752914
146.4,129.19142
