Original,Predicted
104.3,63.159374
114.4,91.25543
110.0,80.92199
109.2,103.44711
108.5,96.12122
100.8,90.15921
99.2,82.0718
113.3,119.75992
117.9,81.64523
147.9,113.05089
96.9,100.47177
110.0,121.86471
105.8,108.73696
88.2,124.26087
98.7,107.924614
84.3,103.36353
114.7,99.980156
108.2,93.58534
109.0,103.364586
125.8,115.43282
109.5,96.09192
107.2,108.20494
100.3,106.794716
115.3,102.65127
98.7,103.32285
135.0,97.794556
99.5,105.53027
105.2,117.988304
107.7,101.52891
104.5,125.85569
116.0,105.933105
114.5,106.62965
65.9,104.1136
106.3,114.81241
125.4,89.29806
98.4,120.50314
83.7,90.6721
116.3,100.41049
121.7,100.05016
116.4,98.35086
139.2,100.98188
89.9,111.86145
120.9,95.14274
109.7,102.18746
115.4,132.95297
128.2,101.618355
94.9,101.10413
118.9,119.20178
136.9,115.250046
113.5,118.70914
103.6,130.56071
129.8,104.87009
108.4,124.26458
119.1,119.8648
128.4,111.73084
113.2,132.18965
93.6,109.02734
114.6,121.66429
93.8,128.39589
102.6,119.60403
141.8,97.49163
92.2,118.33036
97.5,110.1748
97.6,105.038216
113.7,124.91131
115.7,101.48249
125.4,95.018456
98.0,107.238075
121.8,104.9948
116.7,98.52852
