Original,Predicted
103.9,119.64335
109.7,103.57564
113.8,106.97922
103.9,112.06659
84.4,100.8099
84.0,120.36518
80.4,107.96131
140.9,102.45287
105.3,80.901955
97.7,109.10071
125.0,93.91584
114.5,114.05179
120.7,115.15671
104.9,108.83046
103.1,110.5657
88.7,106.55481
74.4,101.802666
76.5,129.41302
139.3,104.24506
104.1,83.728745
89.8,113.76752
103.3,96.33522
112.6,118.681595
96.7,101.1564
107.0,103.900566
102.0,95.70624
116.9,95.6158
119.5,83.22626
108.6,131.35913
109.6,113.32211
103.3,107.14093
80.4,117.3639
93.2,121.078964
90.0,102.352394
95.2,109.58284
113.7,92.82215
109.5,103.744995
109.1,108.8916
107.2,103.29481
75.3,111.67131
82.1,112.27389
95.6,89.30772
121.1,97.49933
109.1,84.22374
