Original,Predicted
0.0,97.25358
75.0,110.419586
80.0,93.68751
106.6,92.4039
111.7,81.114784
145.7,96.935524
77.6,86.92824
96.1,113.47279
109.6,101.52061
113.3,117.16499
96.7,74.87748
100.1,106.02233
104.3,105.030556
140.7,114.28876
155.7,109.60398
120.0,128.19858
66.7,111.880585
132.4,122.20151
0.0,119.39318
58.699999999999996,128.21951
108.9,90.880974
84.8,107.06659
111.9,85.93314
81.4,100.11728
105.3,117.24836
81.8,101.74432
82.4,92.45663
113.4,111.61598
150.1,73.38728
93.7,89.501076
110.9,114.94795
101.9,102.58597
115.3,125.24077
85.9,103.29914
80.7,119.2989
120.6,106.229294
98.9,103.835686
116.2,112.238045
110.1,120.15437
78.2,112.37555
119.0,115.1279
119.4,108.45411
