Original,Predicted
72.3,99.175606
111.3,117.01832
126.4,95.79172
88.0,111.15467
80.6,109.18852
125.3,109.05533
111.3,95.94641
93.0,99.58497
143.8,90.99568
130.8,109.38694
98.8,88.92542
142.9,102.465324
121.8,117.02137
114.9,110.38522
100.5,93.439255
90.1,127.678345
133.1,114.00929
143.5,93.51288
98.1,122.07627
95.2,119.48101
100.1,102.775314
79.7,126.727455
81.2,106.80816
102.7,97.54249
123.0,90.446304
119.3,77.87285
120.7,100.14179
127.2,112.20801
109.0,98.677505
110.8,101.91989
135.7,105.18262
129.0,97.33164
110.9,100.09433
123.8,110.03328
140.2,122.44018
114.6,120.71824
107.5,121.58133
105.0,124.813995
85.4,119.67132
116.3,110.33101
115.7,112.095215
97.0,115.876144
98.9,99.4108
104.6,107.13235
131.3,114.986115
89.7,99.060936
116.4,103.91989
114.4,96.17442
124.2,98.78854
101.7,100.93397
118.9,113.91762
72.9,98.14195
126.7,108.858925
89.9,88.643074
118.6,123.48873
112.8,77.188614
96.5,112.596535
93.1,97.72121
119.2,110.52199
144.1,92.74861
127.0,105.10587
132.8,84.79746
150.1,117.94468
120.5,106.21493
105.7,125.875534
121.8,123.172066
136.5,117.73453
86.3,109.84329
106.9,120.2025
146.8,124.14588
109.7,120.31286
109.1,116.79499
74.5,123.83234
78.3,123.76117
109.3,95.93416
80.5,99.06145
