Original,Predicted
117.7,63.12518
118.2,136.01308
112.4,96.54422
67.6,90.82719
82.7,109.77965
119.0,109.6717
152.4,102.46152
112.6,109.91941
99.7,98.20299
102.8,111.59992
108.4,116.61581
125.6,111.555244
107.4,110.57267
100.6,101.41026
116.5,103.22742
120.8,112.66595
0.0,122.13938
114.2,113.13069
111.7,91.62178
100.8,107.88238
135.3,85.50115
147.1,106.03826
160.6,103.143486
118.6,102.68116
115.4,117.5722
90.1,124.44307
45.7,92.51381
102.3,116.54314
108.1,107.330925
121.7,102.97719
107.2,102.14438
120.9,114.10208
148.1,116.78595
138.9,110.19552
104.2,113.24446
100.2,112.85802
154.2,100.52187
52.099999999999994,113.63592
79.9,118.199905
122.3,108.029205
107.0,112.74919
109.4,102.714005
148.5,111.75529
111.2,114.342285
121.9,110.17717
106.5,102.80031
126.6,131.60597
112.4,95.81675
89.9,108.38634
144.5,117.25841
115.1,110.74167
104.5,115.17072
93.0,119.97417
79.5,117.03656
107.7,114.396355
78.0,104.34872
107.6,111.64344
83.8,101.023796
79.2,100.66132
91.6,107.36383
107.1,103.82525
