Original,Predicted
119.6,105.58368
104.5,85.85794
90.1,100.4621
103.7,109.519035
98.9,80.00927
108.6,87.67471
89.7,99.542694
120.0,113.43785
122.1,98.148834
102.0,97.70572
87.4,103.58615
114.7,104.23782
103.5,87.62415
104.4,101.04736
90.5,86.96738
101.9,106.30108
106.1,80.96685
96.5,102.61972
106.0,101.22629
133.2,92.08354
112.2,80.82536
106.8,106.02635
132.2,97.571236
102.0,106.794525
117.9,101.99557
100.5,99.024666
110.6,118.91894
121.9,95.55403
131.5,106.085594
118.0,119.44356
136.0,115.43179
105.9,107.28101
109.4,139.4602
117.3,107.54781
123.6,127.149796
110.1,106.56198
104.3,115.51836
147.9,119.09692
96.5,122.06503
120.9,122.170006
128.9,117.29042
102.5,122.32891
140.2,109.36838
94.1,112.08414
109.8,133.86746
108.8,103.77451
122.5,112.40485
117.3,124.18258
119.8,102.19748
127.5,112.67128
113.6,125.66366
109.7,108.13881
119.8,134.07504
105.5,106.52545
105.1,116.99135
97.6,108.8777
113.3,120.037605
113.6,106.35727
111.6,110.62951
127.3,112.35311
101.3,107.85075
105.2,110.772255
117.8,111.6381
114.8,108.987915
117.6,105.1022
125.1,99.54959
87.0,113.19818
