Original,Predicted
175.0,108.12492
115.2,112.46373
113.2,126.00541
78.1,125.10748
131.4,129.8603
107.9,106.10234
124.1,115.43901
107.0,108.6208
104.2,128.35606
103.1,129.24628
95.3,128.46461
77.5,115.30371
50.0,115.52228
60.0,104.24728
103.1,110.43171
98.8,101.755
124.2,105.24121
177.6,100.94377
0.0,104.847534
99.4,114.32632
136.7,98.828415
0.0,112.2759
107.9,92.42711
174.4,88.7159
88.9,108.21847
133.3,98.31437
106.7,104.357796
96.9,133.72931
117.4,87.66019
82.0,110.28455
0.0,122.5386
101.4,90.2324
91.3,99.479744
0.0,120.30922
72.5,90.46705
122.2,99.87945
108.3,98.14217
50.6,89.431015
96.7,102.70544
133.3,98.124886
0.0,82.362236
