Original,Predicted
122.7,94.37664
116.6,95.73659
90.9,97.93114
96.1,113.91333
102.7,96.663864
118.5,96.63281
116.9,98.795265
127.5,89.051414
117.2,99.17141
107.9,110.34651
117.1,121.31575
98.0,121.89034
112.9,106.62212
97.7,100.43171
101.0,111.271065
121.1,107.59823
109.3,109.086464
85.2,116.58975
94.8,110.12433
107.9,100.997086
120.9,106.48479
127.0,84.65003
102.6,102.93772
110.5,101.34503
93.9,99.39475
111.3,123.227295
110.7,102.08944
101.2,94.84829
83.8,93.48896
88.4,104.5152
106.7,103.533066
129.7,105.47744
149.2,83.46009
89.4,96.7317
102.4,100.945244
115.4,105.644875
118.0,120.594124
119.4,98.35996
112.7,93.672104
99.2,100.07012
133.9,110.57787
115.8,115.46787
95.5,145.1154
121.6,96.85394
123.3,109.434235
119.9,119.25575
107.8,113.94759
119.7,125.59855
98.1,118.23525
