Original,Predicted
50.49999999999999,70.016624
79.9,116.86677
109.4,89.16113
115.3,94.8585
110.9,76.03361
90.8,94.91787
115.0,81.57369
113.6,96.89369
106.5,93.6484
155.9,113.50399
107.0,82.946
104.2,106.9963
140.5,110.14485
111.7,122.674644
92.4,120.413
104.2,107.103966
113.4,120.15823
136.9,114.64172
117.6,103.28894
102.0,133.09517
137.9,114.10025
150.2,110.82908
93.3,130.00125
83.6,122.12171
94.3,112.76184
91.0,117.88444
97.5,107.244995
115.1,111.760185
128.9,106.23123
90.3,97.3863
108.2,115.93603
114.0,120.35244
105.0,107.3882
103.6,96.66848
