Original,Predicted
109.0,94.70852
92.5,99.70783
101.4,96.90697
118.9,88.9281
102.3,99.61676
100.6,89.77182
119.5,92.1955
119.4,98.99461
117.3,108.465485
98.8,95.19124
107.5,110.51647
102.5,98.52756
100.1,104.163704
88.2,106.73963
104.2,101.29449
106.1,92.30735
117.1,103.18171
96.9,98.21884
133.7,106.42269
76.2,89.83087
112.6,110.10741
121.7,87.92949
129.4,106.952
133.8,84.72277
119.8,105.06606
143.5,108.55057
110.7,116.06996
68.5,113.621155
85.7,128.904
114.5,95.049034
93.2,102.97678
98.9,99.66041
120.1,98.77228
107.3,107.22127
117.1,98.49311
160.3,109.733116
102.9,102.5849
133.8,94.24708
159.6,90.58028
125.8,126.30638
66.5,110.64583
118.6,117.839005
89.3,119.85091
114.4,117.78009
138.8,89.56376
121.7,131.22957
93.5,97.18926
155.7,115.61081
119.2,124.39363
102.4,128.34337
118.7,83.15908
112.9,125.14585
110.1,103.25012
128.8,108.60371
102.0,121.83481
132.2,120.42865
105.5,92.89328
109.4,138.18114
96.1,110.08733
146.3,110.9956
132.4,104.07452
92.3,115.44895
135.1,106.15384
120.0,120.87839
141.8,112.86605
100.3,114.96254
105.3,120.99945
113.5,111.924225
99.8,108.56137
98.8,122.06485
118.4,117.48733
