Original,Predicted
113.0,107.84807
93.6,86.27089
112.7,111.5452
111.5,105.10412
99.5,102.96306
100.7,102.42352
87.5,113.3342
105.3,101.463196
102.8,87.505684
117.2,100.65869
107.3,93.36584
144.0,89.70347
104.5,94.385216
100.9,119.845856
121.2,95.771706
99.6,113.79367
115.2,95.19434
109.2,101.10606
101.4,109.64666
89.1,110.51506
134.0,101.93701
116.3,119.313515
107.0,107.18022
116.6,89.44839
119.6,124.05987
102.5,101.56677
109.8,116.62045
88.6,110.05018
121.8,112.71016
120.1,78.371925
126.7,128.24547
97.0,104.60285
88.0,115.60057
117.6,112.068245
92.9,114.69653
114.1,99.56844
126.5,93.07373
100.9,90.32315
104.6,109.85622
100.4,108.95097
105.1,124.25697
123.4,92.86871
106.2,83.27223
89.8,114.70806
110.5,91.21192
107.8,104.8711
120.8,117.56185
122.7,88.804375
102.6,104.87849
130.2,103.163925
123.6,100.96443
107.7,130.00427
103.4,112.04751
108.7,105.53637
99.6,117.63898
124.8,109.46073
95.7,108.56235
123.5,125.43544
103.3,88.57929
110.6,132.31255
119.7,107.821846
124.0,112.12786
