Original,Predicted
109.4,110.11046
116.0,108.118385
124.6,88.707596
99.5,108.34848
141.8,107.925354
104.2,74.80222
144.4,115.132034
150.5,105.959366
97.5,103.46181
131.4,104.759186
101.3,108.496994
106.0,124.2667
114.4,108.689865
144.1,100.02936
106.9,115.0897
105.7,101.67124
121.4,114.4171
131.1,130.70131
121.2,92.08709
114.7,116.642914
129.9,103.21395
121.4,105.66867
98.6,110.6046
105.1,126.19622
102.6,106.40247
103.6,102.71377
105.9,100.56041
112.2,106.383316
123.1,99.70623
127.2,95.15988
121.9,106.15162
104.8,107.650345
121.0,99.89672
131.6,101.32986
115.2,103.03643
89.8,102.96568
144.0,106.51271
122.9,100.52156
108.5,116.98574
87.4,105.43543
108.0,120.04011
86.3,93.835686
111.1,104.18353
94.5,93.41735
139.7,101.380806
99.3,65.501114
124.9,117.531395
121.0,89.81846
117.3,108.035706
115.5,82.32401
144.5,106.32292
135.6,87.76032
