Original,Predicted
105.0,112.69363
100.0,106.94506
113.3,91.09944
114.0,98.48888
104.8,99.68116
96.0,100.27262
113.1,117.370346
116.8,100.033646
108.5,83.25245
118.4,97.29375
114.7,105.96594
101.2,106.27884
136.6,113.93638
91.9,110.63007
125.3,120.28632
79.4,89.57536
84.3,129.61285
113.4,98.69245
120.5,102.93307
102.4,96.94642
122.0,101.5677
104.6,88.582436
106.5,131.08821
107.8,86.417336
111.5,123.52863
127.7,86.81845
108.2,88.56705
108.1,115.76879
97.5,118.90333
126.6,111.80071
101.4,112.74454
100.9,112.88952
126.9,100.78218
110.9,109.89646
96.3,109.4088
114.4,119.135544
125.6,109.00248
110.1,109.58293
119.8,98.4327
112.8,122.44332
104.6,115.12385
98.4,105.85006
93.8,126.51744
113.3,112.6535
111.9,92.619415
116.4,106.51881
94.5,111.26081
71.8,109.96877
123.2,110.67368
