Original,Predicted
84.2,80.23304
114.7,106.37566
106.7,83.11778
121.8,98.98587
143.8,93.82568
125.4,98.708145
128.1,96.75375
115.2,105.0641
142.7,113.570465
105.3,104.62314
97.8,103.58969
125.0,110.23122
124.3,108.63438
113.4,108.65483
99.3,119.50557
114.6,113.974815
104.2,110.71704
108.4,102.33441
119.1,111.04133
107.5,97.416794
99.1,90.16334
104.0,104.35535
132.0,104.98985
135.9,95.463974
102.0,89.655525
141.8,104.97548
93.3,96.04119
117.0,115.126
137.1,98.27173
101.4,110.91061
90.6,97.29991
119.8,97.03895
126.1,111.12658
124.5,112.62254
112.8,86.52121
108.3,123.35157
109.1,93.93631
129.5,105.541046
120.9,113.999374
105.6,101.2468
142.0,91.7992
146.3,107.2778
126.9,118.10893
119.2,116.496124
88.1,119.53637
139.3,120.57376
114.3,100.17355
136.2,125.91355
114.7,101.984245
127.5,113.55372
141.1,116.99737
103.5,132.73029
135.7,121.262596
94.0,113.42527
123.4,106.618484
128.1,113.26287
117.9,114.597374
105.4,115.02635
142.1,110.12962
98.0,108.77365
109.3,130.80537
116.6,88.98864
