Original,Predicted
100.3,97.23873
122.0,109.99092
106.3,97.08666
101.7,100.66459
131.4,105.24859
124.1,94.97339
118.1,118.72126
86.1,113.62358
137.5,99.79238
105.6,109.66938
97.4,112.108536
94.1,108.39959
148.3,113.19982
108.6,97.84598
110.1,117.97039
84.6,107.51102
85.4,121.27111
124.1,93.90768
107.6,112.00833
115.8,102.870926
145.3,96.77932
115.7,98.70576
77.3,123.28488
156.5,109.87017
106.0,107.882355
91.5,110.69055
146.0,93.149536
117.0,118.74765
132.0,111.95284
140.9,105.22818
133.3,130.02196
100.0,118.95833
119.9,106.380806
106.8,132.56384
100.0,120.5188
79.9,102.38946
0.0,124.84223
136.0,105.63586
102.7,86.52264
107.2,108.104836
97.9,81.20987
128.7,96.69592
114.3,92.75362
110.3,100.081436
111.1,96.30356
63.6,102.36287
150.2,68.350624
118.3,106.55685
