Original,Predicted
129.2,100.94859
95.3,113.94914
110.6,125.51574
98.2,110.888145
90.7,121.17644
112.2,106.11277
117.5,111.45501
91.8,102.00205
93.4,103.796585
113.2,114.01556
124.1,118.647964
110.7,95.35666
93.7,109.41839
99.2,108.29753
114.4,101.51969
108.4,109.533936
116.9,113.68778
97.2,99.14308
140.5,106.532196
90.5,105.66239
89.2,130.68019
104.0,106.30623
90.5,110.23558
109.8,98.4329
109.4,101.81911
98.5,105.301445
86.7,107.499886
109.3,96.16859
118.1,117.74308
151.5,95.3298
110.1,87.45224
92.8,117.27229
106.9,103.200745
106.7,122.662224
130.5,114.66741
102.6,103.344925
77.8,105.90352
131.4,111.42123
124.3,108.65248
125.0,135.8947
133.1,104.99404
98.9,110.57
83.3,123.18523
89.0,115.938194
88.2,128.45206
117.2,106.18213
89.7,76.87181
94.9,115.61085
92.7,101.281456
99.1,110.99042
122.7,106.88277
93.1,92.786766
91.1,91.22533
123.6,90.97646
120.3,91.96333
113.6,110.90103
72.7,95.06797
90.9,110.658005
73.7,97.03111
103.1,101.81607
