Original,Predicted
134.4,94.750656
112.9,85.601814
86.5,101.209404
127.4,107.08713
93.6,113.17886
127.3,101.330475
96.7,81.917305
111.8,103.02311
114.6,90.51644
139.9,92.9849
112.2,105.77158
107.2,111.69948
93.3,87.659836
98.4,124.42211
109.4,88.36718
120.1,109.213524
136.4,86.83304
100.9,97.18434
148.8,105.13727
146.2,112.28327
134.1,117.43014
101.1,107.07054
124.7,117.05785
110.4,109.81668
132.3,122.02206
120.6,107.4129
113.6,134.80482
114.7,101.39422
96.3,132.33865
127.9,127.749435
130.6,115.0619
131.1,102.97739
94.3,111.84745
126.7,113.92988
92.7,115.99995
123.5,123.30409
114.0,94.47959
89.7,117.55668
126.7,89.3524
133.4,106.6213
95.3,113.32837
99.3,113.28625
107.0,91.47429
115.3,116.57141
102.3,84.13841
148.1,105.55642
130.6,97.2642
124.4,96.03948
118.4,108.814255
102.1,131.9033
97.2,106.681076
114.9,105.41294
137.0,102.514534
127.9,105.987335
110.4,97.397156
111.8,127.72741
94.9,121.89761
104.7,118.591354
108.6,105.813385
112.2,100.01741
104.3,89.10693
117.0,100.25919
