Original,Predicted
120.7,99.68741
146.0,104.157036
108.0,105.796776
79.3,118.363594
132.7,116.40598
95.6,96.180504
87.2,107.92637
125.3,93.48751
116.6,105.41115
123.0,89.565636
112.2,93.79929
125.3,123.00414
115.1,101.03495
104.5,90.016846
124.5,117.62183
132.6,100.47146
150.5,94.7898
120.4,113.35322
112.0,120.35664
92.9,122.567535
108.3,121.63465
113.3,113.697784
94.4,110.92474
130.0,96.296265
119.2,101.53487
99.1,113.98595
117.6,117.10266
132.2,107.58292
115.3,105.560875
111.0,94.82031
104.9,104.85715
120.7,114.41717
109.5,93.5805
153.0,116.57367
101.5,104.212296
123.1,110.357635
100.3,101.550575
124.1,132.90082
113.6,100.60099
103.2,114.087555
94.7,98.22188
120.0,112.75902
149.8,93.57077
126.6,120.73861
132.3,97.915924
150.4,114.21711
107.3,109.732185
104.8,128.14449
71.9,117.528915
115.9,120.06593
139.1,87.16362
115.5,104.46285
128.2,114.889694
106.0,107.8728
106.8,120.09889
101.9,122.779976
99.0,106.38363
101.6,100.52431
81.5,78.59055
