column,mae,mse,r2
estOFFRTG,34.5593004629306,2679.048302356074,-3.408708232963094
OFFRTG,34.55947814689481,2645.04197917055,-3.4105221506381316
estDEFRTG,34.75730879149949,2784.60240476248,-3.649647825797306
DEFRTG,34.66388214252897,2753.010864575644,-3.727403322357306
estNETRTG,26.646171162545162,1398.6549802514428,-0.23810664210653743
NETRTG,26.523987486186197,1342.5131183620833,-0.2387789747170399
ASTpct,0.11927524150095033,0.026946507002572374,-0.36233686777031027
ASTtoTOV,1.221036669953675,3.5787965725008455,-0.2631857994616027
ASTratio,13.716734274577986,343.3216792549448,-0.3900453071340191
ORBpct,0.047491986415612426,0.005376817670140567,-0.2872777638784145
DRBpct,0.09768605530181333,0.018185888467426522,-0.45294601517878386
REBpct,0.06262148747793682,0.007577026680878867,-0.4774234200948526
TOVratio,9.69890845287815,206.64397044771962,-0.3328508374655077
effFGpct,0.2946756207546106,0.1456059450775404,-0.6968749518061468
TSpct,0.2906909865656673,0.14309780691110968,-0.8005387960915333
USGpct,0.09258961405116738,0.014617011253354814,-0.913605507346962
estUSGpct,0.09548951827403598,0.015894066798357767,-0.8985601522170013
estpace,26.582379646311026,2368.347784756952,-4.23582511138876
pace,31.663241118855275,3535.6200552840924,-1.6213279445882205
paceper40,26.38602262358236,2455.2876825884778,-1.6213267796117283
POS,24.417899576449674,925.0628848940504,-0.800460009443289
pie,0.09778022948964964,0.027336056078194365,-0.2851331029792745
FGM,2.9832372313441233,15.371708019640609,-0.3793763004069042
FGA,5.716414575948797,54.79990774559562,-0.44121010384588977
FGpct,0.2562307093646244,0.10923784207618584,-0.7016647597655932
3PM,1.2170535273331804,2.8555057380339557,-0.28925113272145775
3PA,2.679755069126342,12.373907469771167,-0.3437146983691495
3Ppct,0.25896584604001893,0.11351967884929676,-0.3495861821836763
FTM,1.8850909206097899,7.785753656805672,-0.26253432817892364
FTA,2.320765252544565,11.215667393836561,-0.27199012838640124
FTpct,0.4171618181748137,0.2565049006070186,-0.360648324802731
ORB,1.0664213348262994,2.4083870557244498,-0.2846453576722039
DRB,2.403041647228442,10.293015865971874,-0.3818177551292188
TRB,3.0729510731295924,16.793417127654383,-0.4017796441798873
AST,2.149661321243618,8.990815103697374,-0.29959190337934993
STL,0.7687803050482336,1.1467553418418341,-0.3037112124138197
BLK,0.584867569942569,0.8334371244379694,-0.2575783152897735
TOV,1.1914683422111365,2.6246659797592633,-0.32922747348023274
PF,1.4184195219543476,3.245628749182781,-0.47901025944315045
PTS,8.112442897652985,114.28912419244392,-0.37781744377635795
plusminusPTS,9.630811860244641,151.52471692428134,-0.23384424965659423
SEC,703.7102163757362,764782.6513896186,-0.7818523408972504
PTSoffTOV,1.7827766404251149,6.317973002950641,-0.2933788865047946
2ndPTS,1.5352358689937722,4.888947610473148,-0.2763884685181426
FBPTS,1.5844624512665264,5.387908740040584,-0.26314692200437695
PIP,4.101019070958361,30.780397559552757,-0.31732490308742745
oppPTSoffTOV,5.321287632375655,46.54884630947292,-0.5288924504042962
opp2ndPTS,4.58043191774944,34.851856884151374,-0.44824958877849674
oppFBPTS,4.808285130060538,38.73488412927854,-0.4226610103733681
oppPIP,13.251600058676859,275.17990702234454,-0.5982172230869331
BLKA,0.5639735945433094,0.711686753499449,-0.2646289781712352
foulsdrawn,1.7447386042780997,5.8237662195597615,-0.31717217329983427
SPD,0.9626871652711485,3.2076339617610525,-19.508033713670095
DIST,0.855639692853151,1.1395499439076078,-0.8170916818316114
REBchancesOFF,2.058721458480298,8.10890777790847,-0.3428093962592571
REBchancesDEF,3.585170928281629,22.04143070451402,-0.44408656255979784
REBchancestotal,4.9492850544746005,42.16746206556915,-0.4669031943532056
touches,23.40107611502351,884.0872798876715,-0.5366392018089434
2ndAST,0.4319995980747753,0.48870040224643385,-0.2354895714588523
FTAST,0.3375065228536427,0.3393676434341474,-0.22252616704387473
passes,16.490325822889606,444.7909138426851,-0.5187748783570709
contestedFGM,1.592379044142293,4.757042075270462,-0.31056614732048726
contestedFGA,2.735671098101987,13.36689621783445,-0.3559574503608889
contestedFGpct,0.3441883360873979,0.18329801234132725,-0.43926287585581414
uncontestedFGM,1.8912736348952246,6.460393766158869,-0.3402185657693191
uncontestedFGA,3.7117621019078744,23.431186500843584,-0.3927367004432303
uncontestedFGpct,0.28854847747482876,0.13510904205838425,-0.4825533147340695
defendedatrimFGM,1.4270674240078352,3.702348609469766,-0.33384976549160483
defendedatrimFGA,2.0787497500068746,8.026370312181262,-0.3515740439363557
defendedatrimFGpct,0.4039483689989354,0.23897521820382675,-0.5135692902785183
